epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
256,0.0402,0.0048,0.0335,0.0110,3.3560,0.1435,0.1598,32
257,0.0369,0.0043,0.0300,0.0083,3.8897,0.0960,0.0912,31
258,0.0384,0.0046,0.0305,0.0068,4.6998,0.0246,0.0278,31
259,0.0338,0.0041,0.0264,0.0052,4.5301,0.0305,0.0302,31
260,0.0376,0.0058,0.0283,0.0047,5.2468,0.0264,0.0254,32
261,0.0400,0.0065,0.0292,0.0050,6.2844,0.0046,0.0089,31
262,0.0344,0.0063,0.0246,0.0044,5.4095,0.0234,0.0246,32
263,0.0311,0.0040,0.0240,0.0044,4.2719,0.0473,0.0412,31
264,0.0291,0.0039,0.0228,0.0033,3.5377,0.0962,0.0998,31
265,0.0328,0.0045,0.0254,0.0045,4.2183,0.0814,0.0792,31
266,0.0307,0.0043,0.0235,0.0038,4.2247,0.0541,0.0478,31
267,0.0310,0.0044,0.0238,0.0052,4.1270,0.0428,0.0519,31
268,0.0287,0.0038,0.0226,0.0028,3.4896,0.0927,0.0882,31
269,0.0292,0.0039,0.0227,0.0038,3.7896,0.0798,0.0697,31
270,0.0292,0.0038,0.0228,0.0035,3.8140,0.0542,0.0626,31
271,0.0315,0.0046,0.0240,0.0046,4.2771,0.0450,0.0398,32
272,0.0341,0.0043,0.0266,0.0053,4.5557,0.0259,0.0325,31
273,0.0329,0.0047,0.0248,0.0046,4.8415,0.0311,0.0309,31
274,0.0348,0.0047,0.0264,0.0049,5.1625,0.0166,0.0180,32
275,0.0322,0.0043,0.0246,0.0049,4.6719,0.0386,0.0335,31
276,0.0279,0.0039,0.0213,0.0034,3.8961,0.0656,0.0671,32
277,0.0307,0.0038,0.0238,0.0035,4.2350,0.0596,0.0632,31
278,0.0293,0.0041,0.0223,0.0025,4.1931,0.0581,0.0580,32
279,0.0361,0.0045,0.0285,0.0062,4.4726,0.0435,0.0532,32
280,0.0321,0.0044,0.0238,0.0046,5.2422,0.0277,0.0203,32
281,0.0306,0.0041,0.0235,0.0045,4.2298,0.0698,0.0721,32
282,0.0298,0.0038,0.0229,0.0036,4.1943,0.0436,0.0420,31
283,0.0302,0.0041,0.0232,0.0043,4.0748,0.0754,0.0712,31
284,0.0320,0.0045,0.0247,0.0034,4.2216,0.0701,0.0636,32
285,0.0296,0.0039,0.0224,0.0040,4.4279,0.0405,0.0531,31
286,0.0301,0.0040,0.0234,0.0045,3.9551,0.0782,0.0733,31
287,0.0310,0.0040,0.0239,0.0046,4.3382,0.0399,0.0442,32
288,0.0279,0.0038,0.0215,0.0041,3.7503,0.0988,0.0864,31
289,0.0301,0.0039,0.0232,0.0050,4.2212,0.0437,0.0653,31
290,0.0285,0.0041,0.0219,0.0037,3.7276,0.1005,0.0886,32
291,0.0278,0.0036,0.0220,0.0046,3.2620,0.1147,0.1280,32
292,0.0292,0.0044,0.0219,0.0034,4.2573,0.0545,0.0484,31
293,0.0306,0.0040,0.0235,0.0038,4.3689,0.0391,0.0432,31
294,0.0285,0.0041,0.0217,0.0043,3.9863,0.0816,0.0689,31
295,0.0302,0.0043,0.0230,0.0051,4.2097,0.0479,0.0495,31
296,0.0288,0.0038,0.0219,0.0026,4.1803,0.0537,0.0433,32
297,0.0277,0.0041,0.0214,0.0037,3.4492,0.1261,0.1302,31
298,0.0294,0.0039,0.0229,0.0047,3.7725,0.0742,0.0771,31
299,0.0294,0.0045,0.0223,0.0032,3.8485,0.0669,0.0693,31
300,0.0280,0.0038,0.0217,0.0043,3.6565,0.0824,0.0847,31
301,0.0299,0.0037,0.0232,0.0040,4.0799,0.0632,0.0639,31
302,0.0300,0.0039,0.0227,0.0034,4.6273,0.0429,0.0384,31
303,0.0292,0.0038,0.0228,0.0050,3.7757,0.0698,0.0849,31
304,0.0304,0.0041,0.0229,0.0036,4.5943,0.0343,0.0347,32
305,0.0268,0.0039,0.0201,0.0033,3.9239,0.0793,0.0848,31
306,0.0285,0.0036,0.0221,0.0035,3.9017,0.0689,0.0692,32
307,0.0264,0.0039,0.0200,0.0030,3.6637,0.0784,0.0815,31
308,0.0290,0.0037,0.0223,0.0039,4.1167,0.0612,0.0625,31
309,0.0309,0.0045,0.0233,0.0042,4.4006,0.0635,0.0618,31
310,0.0301,0.0037,0.0232,0.0040,4.3552,0.0416,0.0412,31
311,0.0286,0.0042,0.0221,0.0051,3.6010,0.1016,0.1071,31
312,0.0337,0.0050,0.0256,0.0050,4.5631,0.0463,0.0429,32
313,0.0322,0.0049,0.0236,0.0045,5.1294,0.0257,0.0231,31
314,0.0293,0.0045,0.0218,0.0028,4.2651,0.0465,0.0458,31
315,0.0281,0.0040,0.0214,0.0031,3.8937,0.0981,0.1052,31
316,0.0280,0.0035,0.0218,0.0028,3.8282,0.0930,0.1010,31
317,0.0278,0.0038,0.0212,0.0031,3.9873,0.0554,0.0617,31
318,0.0253,0.0033,0.0193,0.0028,3.6291,0.0825,0.0780,32
319,0.0297,0.0042,0.0228,0.0034,3.9553,0.0628,0.0643,32
320,0.0286,0.0037,0.0217,0.0034,4.3080,0.0543,0.0586,31
321,0.0283,0.0039,0.0219,0.0041,3.6783,0.0731,0.0661,31
322,0.0270,0.0035,0.0211,0.0030,3.5025,0.1301,0.1346,32
323,0.0292,0.0034,0.0227,0.0037,4.1458,0.0554,0.0676,31
324,0.0301,0.0038,0.0232,0.0039,4.2179,0.0596,0.0491,32
325,0.0288,0.0042,0.0215,0.0041,4.3035,0.0539,0.0506,32
326,0.0266,0.0037,0.0200,0.0019,3.9724,0.0511,0.0612,32
327,0.0274,0.0037,0.0210,0.0033,3.7921,0.0820,0.0717,32
328,0.0252,0.0035,0.0191,0.0024,3.7052,0.0935,0.1116,31
329,0.0249,0.0032,0.0193,0.0022,3.3470,0.1584,0.1534,31
330,0.0264,0.0033,0.0205,0.0026,3.5903,0.0990,0.1048,31
331,0.0261,0.0038,0.0198,0.0022,3.6800,0.1061,0.1010,31
332,0.0280,0.0036,0.0214,0.0037,4.0578,0.0596,0.0570,31
333,0.0275,0.0035,0.0210,0.0033,4.0128,0.0686,0.0700,31
334,0.0276,0.0036,0.0211,0.0040,3.9563,0.0544,0.0551,32
335,0.0288,0.0038,0.0221,0.0040,3.9501,0.0626,0.0700,31
336,0.0290,0.0039,0.0223,0.0035,4.0083,0.0623,0.0553,32
337,0.0290,0.0038,0.0222,0.0030,4.1806,0.0517,0.0525,31
338,0.0279,0.0042,0.0207,0.0026,4.3178,0.0395,0.0466,32
339,0.0263,0.0032,0.0200,0.0025,4.0465,0.0454,0.0497,31
340,0.0279,0.0034,0.0223,0.0040,3.1714,0.1505,0.1460,31
341,0.0279,0.0034,0.0212,0.0030,4.3002,0.0389,0.0430,31
342,0.0295,0.0038,0.0227,0.0035,4.1724,0.0582,0.0562,31
343,0.0292,0.0036,0.0226,0.0038,4.0779,0.0732,0.0614,32
344,0.0263,0.0037,0.0202,0.0025,3.5862,0.1140,0.1274,31
345,0.0259,0.0031,0.0204,0.0033,3.3039,0.1206,0.1379,31
346,0.0268,0.0038,0.0207,0.0041,3.4233,0.1125,0.1247,31
347,0.0268,0.0030,0.0211,0.0033,3.5263,0.1320,0.1135,32
348,0.0269,0.0033,0.0210,0.0033,3.5952,0.0779,0.0808,31
349,0.0259,0.0037,0.0198,0.0025,3.5393,0.0891,0.0873,31
350,0.0281,0.0040,0.0211,0.0032,4.2570,0.0478,0.0543,31
351,0.0293,0.0044,0.0220,0.0033,4.1887,0.0738,0.0683,32
